title,price,location,ambientes,banos,metros_cuadrados,link
"Alquiler 2 Dormitorio Al Frente - Ituzaingo 630, Rosario",330000.0,"Ituzaingó 630, Abasto, Rosario, Santa Fe",3,1,60.0,https://departamento.mercadolibre.com.ar/MLA-1943824450-alquiler-2-dormitorio-al-frente-ituzaingo-630-rosario-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Alquiler Departamento Un Dormitorio Rosario Centro,300.0,"Catamarca 2127 05-02, Centro, Rosario, Santa Fe",2,1,31.0,https://departamento.mercadolibre.com.ar/MLA-1457572819-alquiler-departamento-un-dormitorio-rosario-centro-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Departamento En Alquiler Un Dormitorio Amueblado.,550000.0,"Bulevar Oroño Al 1000, Centro, Rosario, Santa Fe",2,1,40.0,https://departamento.mercadolibre.com.ar/MLA-1940260528-departamento-en-alquiler-un-dormitorio-amueblado-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Alquiler Departamento Un Dormitorio Zona Centro,265000.0,"3 De Febrero Al 2400, Rosario, Santa Fe",2,1,43.0,https://departamento.mercadolibre.com.ar/MLA-1456635131-alquiler-departamento-un-dormitorio-zona-centro-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Departamento En Venta Barrio Martin Rosario - 1 Dormitorio,190000.0,"Alem Y 9 De Julio, Martin, Rosario, Santa Fe",2,1,32.0,https://departamento.mercadolibre.com.ar/MLA-1457636625-departamento-en-venta-barrio-martin-rosario-1-dormitorio-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Alquiler Departamento Monoambiente En Rosario - Centro,420000.0,"Córdoba Al 600, Centro, Rosario, Santa Fe",1,1,38.0,https://departamento.mercadolibre.com.ar/MLA-1457660835-alquiler-departamento-monoambiente-en-rosario-centro-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
"Dpto En Alquiler - 1 Dormitorio C/galería Exclusiva - Centro,rosario- Dorrego Al 200",250000.0,"Dorrego 220, Centro, Rosario, Santa Fe",2,1,40.0,https://departamento.mercadolibre.com.ar/MLA-1940231470-dpto-en-alquiler-1-dormitorio-cgaleria-exclusiva-centrorosario-dorrego-al-200-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Dpto 1 Dorm. En Alquiler- C/balcón- Gas Natural-rep. De La Sexta- 1 De Mayo 1900,270000.0,"1 De Mayo 1970, República De La Sexta, Rosario, Santa Fe",2,1,100.0,https://departamento.mercadolibre.com.ar/MLA-1936213152-dpto-1-dorm-en-alquiler-cbalcon-gas-natural-rep-de-la-sexta-1-de-mayo-1900-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
"En Alquiler - Monoambiente Con Balcón - San Nicolas Al 1200, Echesortu, Rosario",125000.0,"San Nicolás 1243, Echesortu, Rosario, Santa Fe",1,1,27.0,https://departamento.mercadolibre.com.ar/MLA-1448240509-en-alquiler-monoambiente-con-balcon-san-nicolas-al-1200-echesortu-rosario-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Alquiler Departamento Monoambiente Amoblado Rosario,230000.0,"Colon Al 1900. Entre Pasco Y Ituzaingo, República De La Sexta, Rosario, Santa Fe",1,1,27.0,https://departamento.mercadolibre.com.ar/MLA-1897077354-alquiler-departamento-monoambiente-amoblado-rosario-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
